,creation_date,compound,pos,neg,score
0,2008-08-31 00:00:00+00:00,0.43887499999999996,0.06841666666666667,0.023520833333333335,24.916666666666668
1,2008-09-30 00:00:00+00:00,0.3728686046511628,0.07240116279069767,0.030877906976744186,89.5813953488372
2,2008-10-31 00:00:00+00:00,0.32203675213675215,0.06025641025641026,0.02565811965811966,36.1025641025641
3,2008-11-30 00:00:00+00:00,0.36838764044943817,0.07369662921348315,0.026617977528089885,46.662921348314605
4,2008-12-31 00:00:00+00:00,0.3042715789473684,0.06319999999999999,0.030842105263157896,18.6
5,2009-01-31 00:00:00+00:00,0.30421552795031054,0.06755279503105589,0.027385093167701862,26.73913043478261
6,2009-02-28 00:00:00+00:00,0.3486317880794702,0.06870860927152318,0.02956291390728477,32.05960264900662
7,2009-03-31 00:00:00+00:00,0.3089111111111111,0.058133333333333335,0.024711111111111114,24.738888888888887
8,2009-04-30 00:00:00+00:00,0.36950552147239263,0.07296932515337423,0.024484662576687116,13.331288343558283
9,2009-05-31 00:00:00+00:00,0.23685444444444445,0.06196111111111111,0.028005555555555558,32.33888888888889
10,2009-06-30 00:00:00+00:00,0.3291171052631579,0.0647938596491228,0.025793859649122806,12.298245614035087
11,2009-07-31 00:00:00+00:00,0.3241415525114155,0.07010958904109589,0.026511415525114157,30.041095890410958
12,2009-08-31 00:00:00+00:00,0.3803542600896861,0.06833183856502242,0.02006726457399103,37.336322869955154
13,2009-09-30 00:00:00+00:00,0.26850265486725666,0.06132300884955752,0.025079646017699117,14.376106194690266
14,2009-10-31 00:00:00+00:00,0.2573276315789474,0.060337719298245614,0.027706140350877193,11.228070175438596
15,2009-11-30 00:00:00+00:00,0.30913674242424244,0.06371969696969697,0.023988636363636365,11.871212121212121
16,2009-12-31 00:00:00+00:00,0.3894850393700787,0.06846456692913386,0.022968503937007872,10.87007874015748
17,2010-01-31 00:00:00+00:00,0.27088168604651164,0.05717732558139535,0.02743313953488372,11.843023255813954
18,2010-02-28 00:00:00+00:00,0.36454479166666665,0.06460763888888889,0.025753472222222223,19.9375
19,2010-03-31 00:00:00+00:00,0.30269050632911393,0.0601740506329114,0.021762658227848102,11.569620253164556
20,2010-04-30 00:00:00+00:00,0.3262565972222222,0.06085763888888889,0.022930555555555555,18.850694444444443
21,2010-05-31 00:00:00+00:00,0.3508152,0.067016,0.023988,15.344
22,2010-06-30 00:00:00+00:00,0.3415359477124183,0.060222222222222226,0.022967320261437905,15.568627450980392
23,2010-07-31 00:00:00+00:00,0.34365988023952093,0.06370958083832336,0.019550898203592817,11.386227544910179
24,2010-08-31 00:00:00+00:00,0.292744235924933,0.06313941018766756,0.02522520107238606,15.793565683646113
25,2010-09-30 00:00:00+00:00,0.276836231884058,0.059156521739130434,0.023168115942028986,9.01159420289855
26,2010-10-31 00:00:00+00:00,0.29293946587537095,0.060664688427299704,0.025540059347181007,13.712166172106825
27,2010-11-30 00:00:00+00:00,0.24922176308539945,0.058862258953168045,0.025724517906336085,14.272727272727273
28,2010-12-31 00:00:00+00:00,0.3462844736842105,0.06593157894736841,0.02273684210526316,8.647368421052631
29,2011-01-31 00:00:00+00:00,0.3133080610021787,0.06088888888888889,0.02059041394335512,15.594771241830065
30,2011-02-28 00:00:00+00:00,0.30016577181208054,0.06287472035794184,0.025465324384787474,11.172259507829978
31,2011-03-31 00:00:00+00:00,0.2489965073529412,0.05568566176470588,0.025312499999999998,7.419117647058823
32,2011-04-30 00:00:00+00:00,0.2681312614259598,0.05673674588665448,0.02340402193784278,12.310786106032907
33,2011-05-31 00:00:00+00:00,0.24188320754716983,0.05965283018867924,0.02663396226415094,11.484905660377358
34,2011-06-30 00:00:00+00:00,0.2534113240418118,0.05521080139372822,0.023210801393728223,10.277003484320558
35,2011-07-31 00:00:00+00:00,0.2451073949579832,0.055341176470588234,0.024349579831932772,8.015126050420168
36,2011-08-31 00:00:00+00:00,0.3062506600660066,0.05837128712871287,0.021831683168316834,12.87953795379538
37,2011-09-30 00:00:00+00:00,0.27464491978609623,0.05636720142602496,0.02426559714795009,9.44741532976827
38,2011-10-31 00:00:00+00:00,0.25780660194174754,0.0525378640776699,0.023302912621359223,9.471844660194174
39,2011-11-30 00:00:00+00:00,0.3099741554054054,0.056150337837837835,0.021160472972972973,8.241554054054054
40,2011-12-31 00:00:00+00:00,0.28311619047619047,0.05986285714285714,0.021474285714285713,10.699047619047619
41,2012-01-31 00:00:00+00:00,0.28175544554455445,0.05867161716171617,0.021815181518151816,8.023102310231023
42,2012-02-29 00:00:00+00:00,0.28097098214285715,0.05860267857142857,0.021651785714285714,10.37202380952381
43,2012-03-31 00:00:00+00:00,0.2832169440242058,0.058564296520423595,0.02451891074130106,6.8018154311649015
44,2012-04-30 00:00:00+00:00,0.31983870967741934,0.05735483870967742,0.021281524926686217,6.189149560117302
45,2012-05-31 00:00:00+00:00,0.30538480662983425,0.061925414364640885,0.02157734806629834,9.453038674033149
46,2012-06-30 00:00:00+00:00,0.334833242506812,0.06145095367847411,0.02085558583106267,8.764305177111716
47,2012-07-31 00:00:00+00:00,0.30535739130434786,0.05843229813664596,0.021552795031055904,6.260869565217392
48,2012-08-31 00:00:00+00:00,0.2921825966850829,0.05714502762430939,0.021566298342541437,7.62707182320442
49,2012-09-30 00:00:00+00:00,0.3176554131054131,0.05875356125356125,0.02157834757834758,7.99002849002849
50,2012-10-31 00:00:00+00:00,0.3014905,0.0581975,0.02233375,7.51125
51,2012-11-30 00:00:00+00:00,0.2898355781448539,0.058,0.0228284625158831,6.986022871664549
