,creation_date,compound,language,pos,neg,score
0,2008-12-31 00:00:00+00:00,0.20781999999999998,javascript,0.0736,0.040600000000000004,13.4
1,2009-12-31 00:00:00+00:00,0.3234243902439024,javascript,0.079,0.03512195121951219,72.40243902439025
2,2010-12-31 00:00:00+00:00,0.44175625,javascript,0.09299038461538461,0.03313461538461539,11.591346153846153
3,2011-12-31 00:00:00+00:00,0.4719174568965517,javascript,0.09029310344827586,0.03267887931034483,7.672413793103448
4,2012-12-31 00:00:00+00:00,0.471882489146165,javascript,0.08740810419681622,0.031054992764109984,4.419681620839364
5,2013-12-31 00:00:00+00:00,0.43785645677694773,javascript,0.0845965848452508,0.03247171824973319,5.164354322305229
6,2014-12-31 00:00:00+00:00,0.49318881355932204,javascript,0.08673305084745762,0.03397627118644068,1.2271186440677966
7,2015-12-31 00:00:00+00:00,0.48548397873955956,javascript,0.08620501138952164,0.032184510250569474,1.7881548974943053
8,2016-12-31 00:00:00+00:00,0.4380436580238262,javascript,0.0818072880168185,0.03336580238262088,2.076384022424667
9,2017-12-31 00:00:00+00:00,0.4625372754491018,javascript,0.08562050898203592,0.0334752994011976,1.2080838323353293
10,2018-12-31 00:00:00+00:00,0.48462303710094906,javascript,0.08616566005176876,0.03114495254529767,0.814495254529767
11,2019-12-31 00:00:00+00:00,0.43971654676259,javascript,0.08337589928057554,0.033010791366906475,0.7769784172661871
12,2020-12-31 00:00:00+00:00,0.4212723481414325,javascript,0.08142157751586582,0.034652765185856756,0.6101541251133273
13,2021-12-31 00:00:00+00:00,0.4225416078984485,javascript,0.08313681241184767,0.035588152327221435,0.18194640338504936
14,2008-12-31 00:00:00+00:00,0.5369761904761905,java,0.11704761904761905,0.023666666666666666,37.38095238095238
15,2009-12-31 00:00:00+00:00,0.2807511811023622,java,0.07176377952755907,0.03982677165354331,28.95275590551181
16,2010-12-31 00:00:00+00:00,0.33132912621359223,java,0.07476051779935275,0.030870550161812296,11.36569579288026
17,2011-12-31 00:00:00+00:00,0.3968601724137931,java,0.08020862068965517,0.03476206896551724,6.431034482758621
18,2012-12-31 00:00:00+00:00,0.3684826137689615,java,0.0763663943990665,0.03294982497082847,3.4200700116686114
19,2013-12-31 00:00:00+00:00,0.35691659350307287,java,0.07072168568920106,0.03222212467076383,2.2230026338893767
20,2014-12-31 00:00:00+00:00,0.3729535031847134,java,0.07119585987261147,0.0336218152866242,2.031050955414013
21,2015-12-31 00:00:00+00:00,0.3627403187250996,java,0.06991633466135458,0.03302629482071713,1.849402390438247
22,2016-12-31 00:00:00+00:00,0.35604331877729256,java,0.06965414847161573,0.03369519650655022,1.325764192139738
23,2017-12-31 00:00:00+00:00,0.35865697796432316,java,0.06883210912906611,0.033752360965372506,1.154249737670514
24,2018-12-31 00:00:00+00:00,0.3511757281553398,java,0.06801456310679611,0.034230582524271844,0.6723300970873787
25,2019-12-31 00:00:00+00:00,0.375726835443038,java,0.06946835443037976,0.03194177215189874,0.7734177215189874
26,2020-12-31 00:00:00+00:00,0.3281822946175637,java,0.06606515580736544,0.03605240793201133,0.40509915014164305
27,2021-12-31 00:00:00+00:00,0.33785714285714286,java,0.07062755102040816,0.03490561224489796,0.2755102040816326
28,2008-12-31 00:00:00+00:00,0.4293529411764706,python,0.060470588235294116,0.013,186.11764705882354
29,2009-12-31 00:00:00+00:00,0.3128255319148936,python,0.0805531914893617,0.03826595744680851,71.68085106382979
30,2010-12-31 00:00:00+00:00,0.3528709219858156,python,0.08542553191489362,0.03619148936170213,21.73758865248227
31,2011-12-31 00:00:00+00:00,0.33526153846153844,python,0.08241452991452991,0.038662393162393165,11.7991452991453
32,2012-12-31 00:00:00+00:00,0.3213377840909091,python,0.07747727272727273,0.038156249999999996,8.338068181818182
33,2013-12-31 00:00:00+00:00,0.375398,python,0.081116,0.035588,5.362
34,2014-12-31 00:00:00+00:00,0.3668875384615385,python,0.0790076923076923,0.03795538461538461,4.481538461538461
35,2015-12-31 00:00:00+00:00,0.3485423076923077,python,0.07762179487179488,0.037061538461538465,2.4871794871794872
36,2016-12-31 00:00:00+00:00,0.3473355233853007,python,0.0812750556792873,0.03906236080178174,2.3062360801781736
37,2017-12-31 00:00:00+00:00,0.380482657869934,python,0.08208011310084826,0.0372186616399623,1.5230914231856738
38,2018-12-31 00:00:00+00:00,0.3853801919720768,python,0.08412827225130891,0.037191099476439796,1.037521815008726
39,2019-12-31 00:00:00+00:00,0.4138857030636292,python,0.08409976433621366,0.03710840534171249,0.8586017282010998
40,2020-12-31 00:00:00+00:00,0.4080821038251366,python,0.08547131147540983,0.03737773224043716,0.60724043715847
41,2021-12-31 00:00:00+00:00,0.38077410714285714,python,0.08574603174603175,0.03785515873015873,0.3323412698412698
42,2008-12-31 00:00:00+00:00,0.28626153846153846,c#,0.09735897435897435,0.04256410256410256,72.3076923076923
43,2009-12-31 00:00:00+00:00,0.447443893129771,c#,0.08657633587786259,0.03055725190839695,15.404580152671755
44,2010-12-31 00:00:00+00:00,0.44214525386313464,c#,0.08698675496688742,0.035439293598233994,8.344370860927153
45,2011-12-31 00:00:00+00:00,0.42071869436201775,c#,0.08134569732937685,0.03176706231454006,7.189910979228487
46,2012-12-31 00:00:00+00:00,0.4511602609727165,c#,0.08104863582443654,0.031709371293001186,3.1648873072360617
47,2013-12-31 00:00:00+00:00,0.3923258706467662,c#,0.07619004975124379,0.03295223880597015,2.8139303482587064
48,2014-12-31 00:00:00+00:00,0.4112686432160804,c#,0.07613869346733668,0.031624120603015074,1.8964824120603014
